大陆央视,#genre#
Sky Sports Cricket,http://135.148.104.228:19806/645a7908000370cd633da6a43c4e0927
Sky Sports Action,http://135.148.104.228:19806/645a7907000bcca0633da4df6c275140
NBA,http://135.148.104.228:19806/65f8f2a53b6342ffb4b8d2a8542bc623
J Sports 4,http://135.148.104.228:19806/8b6d39de46c7464297947f368e623270
J Sports 3,http://135.148.104.228:19806/00003bb75b5044739df061845fc5ddce
J Sports 2,http://135.148.104.228:19806/61de10ba994a49ebaedf836962f9065a
J Sports 1,http://135.148.104.228:19806/ec9e8e130dc8450f9ab54033ec0838cb
Hub Sports 1,http://135.148.104.228:19806/5b7034df7dcd4ccabcb0137f0991a274
Hub Sports 2,http://135.148.104.228:19806/2d881919b62242f4930fda32837eb7df
Hub Sports 3,http://135.148.104.228:19806/6101d0aff0654f73812cb15c57df9f59
Hub Sports 4,http://135.148.104.228:19806/6324a78a0d4549fc859b68804438bbe6
Hub Sports 5,http://135.148.104.228:19806/58395e1ea80a40069a5e30c9917d1a97
Hub Premier 2,http://135.148.104.228:19806/a52cc083e7324b2dbd8090feecc66033
Golf Channel,http://135.148.104.228:19806/69981dfb0eb64aea9b1216f81dd80909
Fight Sports,http://135.148.104.228:19806/78bd0cc13a8840fcb8af0440258a8357
Eurosport HD,http://135.148.104.228:19806/aa9706fa55c84772a56fd959f7abdd45
ESPN,http://135.148.104.228:19806/eb2c51ee510841a9b7845b6d13309e9c
eGG Network,http://135.148.104.228:19806/afc9e147576d41eda59da886563a3d1c
beIN Sports 3,http://135.148.104.228:19806/ade2ee776a684bbca72d37b951bf0d61
beIN Sports,http://135.148.104.228:19806/46375137a35944a38e828ec083096cd9
Astro SuperSport,http://135.148.104.228:19806/6466ff1f000aa2e294297251042840c1
Astro SuperSport 2,http://135.148.104.228:19806/64673d850006de5b951d2fc7722175a3
Astro SuperSport 3,http://135.148.104.228:19806/644a3bac000c472123cdeea90ef57521
Astro SuperSport 4,http://135.148.104.228:19806/80de42b5188745979efecd3007daeaa8
Astro SuperSport 5,http://135.148.104.228:19806/09638fd935964473a20e9260baf2a756
Astro Arena,http://135.148.104.228:19806/6458c64c000b217e5c9b7a38341006fd

地理探索,#genre#
国家地理频道,http://135.148.104.228:19806/f2a7763353c242b788b34f33aa478527
动物星球,http://135.148.104.228:19806/14fd9d119d4b4f0391652fa16930fbe2
国家地理高画质野生频道,http://135.148.104.228:19806/faccdb1e8d4a48c4a2eb75b6fb436c05
Discovery科学频道,http://135.148.104.228:19806/862c9ba288c44277925b51c391df263b
DMAX,http://135.148.104.228:19806/645786e20006a4f857bbc2ff4d3a0833
Nat Geo Wild,http://135.148.104.228:19806/789748eb75bb4c3b9522742df4eaee1b

探索频道,#genre#
国家地理频道,http://135.148.104.228:19806/f2a7763353c242b788b34f33aa478527
动物星球,http://135.148.104.228:19806/14fd9d119d4b4f0391652fa16930fbe2
DMAX,http://135.148.104.228:19806/645786e20006a4f857bbc2ff4d3a0833
Discovery Asia,http://135.148.104.228:19806/0cb2bcf330534b429a8e008ccdc8886c
